                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83649,                 2.1862,                 1.0547,                0.59538,                0.54632,                0.58429,                0.43403,                0.86162,                 2.0238,                 1.0039,              0.0004108,              0.0004108,              0.0004108
                      2,                 0.9167,                 1.4181,                   1.09,                0.71453,                 0.6703,                0.71689,                0.45772,                 1.1404,                 1.6389,                 1.2159,             0.00074555,             0.00074555,             0.00074555
                      3,                0.95577,                  1.298,                 1.1047,                0.67645,                0.65295,                0.69622,                 0.4738,                 1.0388,                 1.7299,                  1.142,             0.00099779,             0.00099779,             0.00099779
                      4,                0.99323,                 1.2866,                  1.113,                0.79331,                0.75397,                0.81287,                0.59299,                0.92313,                 1.2398,                 1.0821,             0.00087875,             0.00087875,             0.00087875
                      5,                0.91887,                 1.1877,                 1.0871,                0.79865,                 0.7355,                0.82119,                0.57658,                0.97781,                 1.1706,                 1.1201,             0.00087875,             0.00087875,             0.00087875
                      6,                0.88226,                 1.0599,                 1.0704,                0.82969,                0.81558,                0.87276,                0.66835,                0.85036,                0.97632,                 1.0293,               0.000755,               0.000755,               0.000755
                      7,                0.83714,                 0.9576,                 1.0532,                0.84468,                0.78673,                  0.878,                0.66908,                0.83929,                0.90841,                 1.0336,             0.00063125,             0.00063125,             0.00063125
                      8,                 0.8044,                0.90825,                 1.0337,                0.89012,                0.72811,                0.85968,                0.66573,                0.80626,                0.94298,                 1.0151,              0.0005075,              0.0005075,              0.0005075
                      9,                0.74529,                0.82187,                0.99937,                0.89063,                0.83255,                0.90892,                0.70869,                0.77683,                0.79174,                 1.0049,             0.00038375,             0.00038375,             0.00038375
                     10,                0.71547,                0.75763,                0.99112,                0.88624,                 0.8468,                0.91289,                0.73579,                0.71878,                0.72636,                 0.9668,                0.00026,                0.00026,                0.00026
