                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83882,                 2.1532,                  1.048,                0.72807,                0.57375,                0.67336,                 0.4946,                0.87015,                 1.7755,                 1.0001,              0.0004108,              0.0004108,              0.0004108
                      2,                0.90377,                 1.3828,                 1.0911,                0.65059,                 0.5296,                0.58965,                0.34822,                  1.207,                 1.8461,                 1.2682,             0.00074555,             0.00074555,             0.00074555
                      3,                0.92856,                 1.3045,                 1.0898,                0.73113,                0.68178,                0.76826,                0.53372,                 1.0453,                 1.4547,                 1.1505,             0.00099779,             0.00099779,             0.00099779
                      4,                0.93064,                 1.2311,                 1.0903,                 0.8003,                0.70351,                0.78671,                0.55656,                 1.0028,                 1.2516,                 1.0962,             0.00087875,             0.00087875,             0.00087875
                      5,                0.92242,                 1.1462,                 1.0941,                0.73109,                0.71407,                0.77381,                0.55062,                0.99115,                 1.2486,                 1.1276,             0.00087875,             0.00087875,             0.00087875
                      6,                0.85678,                 1.0477,                 1.0587,                 0.7692,                0.76775,                0.83338,                0.62879,                0.87343,                 1.0834,                 1.0383,               0.000755,               0.000755,               0.000755
                      7,                0.83252,                0.98249,                 1.0452,                0.85196,                0.76553,                 0.8433,                0.63578,                0.84593,                0.97033,                 1.0274,             0.00063125,             0.00063125,             0.00063125
                      8,                0.78566,                0.87576,                 1.0197,                0.83927,                0.80693,                 0.8713,                0.66867,                0.81719,                  0.888,                 1.0087,              0.0005075,              0.0005075,              0.0005075
                      9,                0.74547,                0.79355,                 1.0061,                0.91172,                0.80145,                0.89358,                0.69751,                0.78583,                0.78331,                 1.0062,             0.00038375,             0.00038375,             0.00038375
                     10,                0.69552,                0.73637,                0.98311,                 0.9016,                0.82449,                0.90359,                0.70851,                 0.7822,                0.74873,                 0.9967,                0.00026,                0.00026,                0.00026
