                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7387,                 3.0465,                 1.3388,                0.00358,                0.99083,                0.12773,                 0.0426,                  1.339,                 3.1033,                 1.0777,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.5563,                 1.7872,                   1.12,                0.01959,                0.82569,                 0.5078,                0.23365,                 1.5846,                 2.9492,                 1.1814,             0.00073882,             0.00073882,             0.00073882
                      3,                 1.5974,                 1.6868,                 1.1928,                0.86694,                0.53798,                0.64933,                0.27874,                  1.802,                 2.3993,                 1.2824,             0.00099448,             0.00099448,             0.00099448
                      4,                 1.5789,                 1.5167,                 1.1908,                0.73641,                0.51262,                0.58072,                0.25637,                 1.6703,                 2.1671,                 1.3171,               0.001167,               0.001167,               0.001167
                      5,                 1.5746,                 1.4503,                 1.2012,                0.77075,                0.63303,                0.72022,                0.35704,                 1.6213,                 1.6469,                 1.2079,               0.001208,               0.001208,               0.001208
                      6,                 1.5507,                 1.3747,                 1.1609,                0.80006,                0.73394,                0.84241,                0.42645,                 1.4528,                 1.4518,                 1.1747,               0.001208,               0.001208,               0.001208
                      7,                 1.4653,                 1.3088,                 1.1266,                0.86746,                0.75229,                0.88014,                0.49088,                 1.4322,                 1.2352,                  1.149,                0.00101,                0.00101,                0.00101
                      8,                 1.4217,                 1.1927,                 1.1352,                0.83639,                0.77064,                 0.8793,                0.48523,                  1.476,                 1.2581,                 1.2056,               0.000812,               0.000812,               0.000812
                      9,                 1.4634,                 1.1618,                 1.1349,                0.87339,                0.82278,                0.91282,                0.54157,                 1.3583,                 1.0986,                 1.1582,               0.000614,               0.000614,               0.000614
                     10,                 1.3695,                 1.1045,                 1.0567,                0.95629,                0.80283,                0.91041,                0.52523,                 1.3601,                 1.0766,                 1.1501,               0.000416,               0.000416,               0.000416
