                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5999,                 2.8516,                 1.2675,                0.00352,                0.91954,                0.57885,                0.27842,                 1.4055,                  2.927,                  1.065,                0.00042,                0.00042,                0.00042
                      2,                 1.5504,                 1.6124,                 1.1397,                      1,                0.08172,                0.40744,                0.19589,                 1.5366,                 2.9675,                 1.1039,             0.00081743,             0.00081743,             0.00081743
                      3,                  1.564,                 1.4078,                 1.1399,                0.66486,                0.45609,                0.50034,                0.23282,                 1.6215,                 2.3155,                 1.1987,              0.0011713,              0.0011713,              0.0011713
                      4,                 1.5223,                 1.3384,                  1.158,                 0.4304,                0.32184,                0.33394,                0.15264,                 1.6704,                 2.1928,                 1.2836,              0.0014816,              0.0014816,              0.0014816
                      5,                 1.5395,                 1.2846,                  1.188,                0.52586,                0.49425,                0.45354,                0.24583,                  1.665,                 1.9734,                 1.3372,               0.001604,               0.001604,               0.001604
                      6,                 1.5133,                 1.2754,                 1.2226,                0.42498,                0.42529,                0.37697,                0.18771,                 1.7775,                  2.604,                  1.417,               0.001604,               0.001604,               0.001604
                      7,                 1.5194,                 1.1725,                 1.2059,                0.41073,                0.49425,                0.42133,                0.19482,                 1.5902,                 3.3079,                 1.3373,               0.001505,               0.001505,               0.001505
                      8,                 1.4972,                 1.1195,                 1.1863,                0.61573,                0.62623,                0.60484,                0.29961,                 1.6986,                 1.5728,                 1.2961,               0.001406,               0.001406,               0.001406
                      9,                 1.5094,                  1.124,                 1.1845,                0.79875,                0.54023,                0.65532,                0.31496,                 1.7267,                 1.7296,                 1.3014,               0.001307,               0.001307,               0.001307
                     10,                 1.4548,                 1.0412,                  1.177,                0.75968,                0.76304,                0.77392,                0.40177,                 1.6015,                 1.2213,                 1.2152,               0.001208,               0.001208,               0.001208
                     11,                 1.3917,                 1.1113,                 1.1584,                 0.7787,                0.75862,                0.79374,                0.47024,                 1.4279,                 1.0813,                 1.1817,               0.001109,               0.001109,               0.001109
                     12,                   1.35,                0.99597,                  1.148,                 0.8797,                0.75647,                 0.8286,                0.44132,                  1.538,                 1.0015,                 1.2093,                0.00101,                0.00101,                0.00101
                     13,                 1.3513,                0.96996,                 1.1434,                0.90546,                0.68966,                0.80738,                0.45243,                 1.5098,                  1.038,                 1.2112,               0.000911,               0.000911,               0.000911
                     14,                 1.3129,                0.90769,                 1.1413,                0.82415,                0.75862,                 0.7741,                0.39172,                 1.5533,                 1.0557,                 1.1851,               0.000812,               0.000812,               0.000812
                     15,                 1.2979,                0.89066,                  1.106,                0.86188,                0.75862,                0.79398,                0.43108,                 1.5758,                 1.0514,                 1.1735,               0.000713,               0.000713,               0.000713
                     16,                 1.2561,                0.86041,                  1.091,                0.86806,                0.75623,                0.79504,                0.44451,                 1.5483,                 1.0096,                 1.1639,               0.000614,               0.000614,               0.000614
                     17,                 1.2676,                0.82642,                 1.1055,                0.86967,                0.76704,                0.81478,                 0.4481,                 1.5484,                 0.9516,                 1.1965,               0.000515,               0.000515,               0.000515
                     18,                 1.2297,                0.80746,                 1.0779,                0.83762,                 0.7931,                0.81131,                0.45983,                 1.4948,                 0.9208,                  1.155,               0.000416,               0.000416,               0.000416
                     19,                 1.2065,                0.79085,                 1.0652,                0.85288,                0.79961,                0.81667,                0.47026,                 1.4978,                0.88577,                 1.1811,               0.000317,               0.000317,               0.000317
                     20,                  1.205,                0.75841,                 1.0721,                0.86399,                0.80318,                0.82241,                0.45895,                 1.5251,                0.88464,                 1.1775,               0.000218,               0.000218,               0.000218
